상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행
MA0101202209A0100150,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11470,양천구,11470650,신정4동,1147010100,신정동,1147010100108870008,887.0,8.0,서울특별시 양천구 신정동 887-8,114703114011,서울특별시 양천구 신정중앙로,서울특별시 양천구 신정중앙로 95,1,126.86254735837,37.5266066426121,1265782586,20.0,65.0
MA010120220804156426,금별맥주,금별맥주동양미래대점,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11530,구로구,11530720,고척1동,1153010600,고척동,1153010600100620134,62.0,134.0,서울특별시 구로구 고척동 62-134,115304148103,서울특별시 구로구 경인로47길,서울특별시 구로구 경인로47길 8,2,126.867221337567,37.5000954582478,1113384749,20.0,48.0
MA010120220808688996,금별맥주,금별맥주양천향교점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11500,강서구,11500603,가양1동,1150010500,마곡동,1150010500107760000,776.0,,서울특별시 강서구 마곡동 776,115004145568,서울특별시 강서구 마곡동로10길,서울특별시 강서구 마곡동로10길 23,,126.839288211879,37.5686268557028,1320051621,20.0,207.0
MA010120220806941672,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11710,송파구,11710642,문정2동,1171010800,문정동,1171010800106430001,643.0,1.0,서울특별시 송파구 문정동 643-1,117103350849,서울특별시 송파구 법원로,서울특별시 송파구 법원로 114,,127.12008969917,37.4857830326052,1588254549,20.0,133.0
MA010120220809845042,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11650,서초구,11650520,서초2동,1165010800,서초동,1165010800113270035,1327.0,35.0,서울특별시 서초구 서초동 1327-35,116504163436,서울특별시 서초구 서초대로78길,서울특별시 서초구 서초대로78길 38,2,127.028225109044,37.4945264059653,1494938619,20.0,79.0
MA010120220810164671,금별맥주,금별맥주송정역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11500,강서구,11500620,공항동,1150010800,공항동,1150010800100530109,53.0,109.0,서울특별시 강서구 공항동 53-109,115003115006,서울특별시 강서구 송정로,서울특별시 강서구 송정로 68,1,126.809945749117,37.5608166890733,1601981946,20.0,24.0
MA010120220812201759,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11410,서대문구,11410585,신촌동,1141011600,창천동,1141011600100520158,52.0,158.0,서울특별시 서대문구 창천동 52-158,114104136230,서울특별시 서대문구 연세로11길,서울특별시 서대문구 연세로11길 14,1,126.936031317181,37.5590782539114,1161335521,20.0,85.0
MA0101202501A0025382,금별맥주,금별맥주,연신내점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11380,은평구,11380551,갈현1동,1138010400,갈현동,1138010400103990013,399.0,13.0,서울특별시 은평구 갈현동 399-13,113804133160,서울특별시 은평구 연서로29길,서울특별시 은평구 연서로29길 14-6,,126.918977990962,37.6192360457869,1126343564,20.0,30.0
MA0101202503A0041391,금별맥주,금별맥주,성신여대점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11290,성북구,11290575,동선동,1129011600,동선동1가,1129011600100040004,4.0,4.0,서울특별시 성북구 동선동1가 4-4,112904121093,서울특별시 성북구 동소문로20길,서울특별시 성북구 동소문로20길 29-17,1,127.017697549565,37.5916021412138,1632711633,20.0,13.0
MA0101202412A0059403,금별맥주,금별맥주신길,삼거리점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11560,영등포구,11560630,신길1동,1156013200,신길동,1156013200100990007,99.0,7.0,서울특별시 영등포구 신길동 99-7,115603118022,서울특별시 영등포구 영등포로,서울특별시 영등포구 영등포로 369,1,126.919374359354,37.514288340194,1516484705,20.0,38.0
MA0101202411A0018154,금별맥주,금별맥주서래,마을점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11650,서초구,11650581,반포4동,1165010700,반포동,1165010700100920014,92.0,14.0,서울특별시 서초구 반포동 92-14,116504163329,서울특별시 서초구 사평대로26길,서울특별시 서초구 사평대로26길 26-7,1,126.998552472,37.4990077716969,9650107,20.0,34.0
MA010120220807891737,금별맥주,금별맥주,성수점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1120011500102890273,289.0,273.0,서울특별시 성동구 성수동2가 289-273,112004109358,서울특별시 성동구 성수일로10길,서울특별시 성동구 성수일로10길 35,1,127.054112733257,37.5460907915718,1308648776,20.0,44.0
MA010120220805757261,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11620,관악구,11620645,서원동,1162010200,신림동,1162010200116400013,1640.0,13.0,서울특별시 관악구 신림동 1640-13,116203120005,서울특별시 관악구 신림로,서울특별시 관악구 신림로 329,1,126.929436102548,37.4837056225976,1972585179,20.0,90.0
MA0101202409A0199061,금별맥주,금별맥주신정네거리역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11470,양천구,11470640,신정3동,1147010100,신정동,1147010100113260000,1326.0,,서울특별시 양천구 신정동 1326,114704142380,서울특별시 양천구 중앙로43길,서울특별시 양천구 중앙로43길 14,,126.851337167736,37.5204212018935,1265782586,20.0,65.0
MA0101202306A0060098,금별맥주,금별맥주,사당역점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11650,서초구,11650610,방배2동,1165010100,방배동,1165010100104440016,444.0,16.0,서울특별시 서초구 방배동 444-16,116502005009,서울특별시 서초구 동작대로,서울특별시 서초구 동작대로 18,1,126.982091832167,37.4781030407453,1195530733,20.0,94.0
MA0101202305A0139131,금별맥주,금별맥주,신도림점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11530,구로구,11530560,구로5동,1153010200,구로동,1153010200100300000,30.0,,서울특별시 구로구 구로동 30,115304148368,서울특별시 구로구 새말로16길,서울특별시 구로구 새말로16길 15,1,126.890623799341,37.5049668526655,1035417750,20.0,60.0
MA0101202307A0096441,금별맥주,금별맥주종로평창점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11110,종로구,11110560,평창동,1111018300,평창동,1111018300102890005,289.0,5.0,서울특별시 종로구 평창동 289-5,111103100023,서울특별시 종로구 평창문화로,서울특별시 종로구 평창문화로 29,지,126.964768492308,37.6048607982193,1120915524,60.0,171.0
MA0101202310A0090370,금별맥주,금별맥주,홍제점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11410,서대문구,11410640,홍제3동,1141011100,홍제동,1141011100102700001,270.0,1.0,서울특별시 서대문구 홍제동 270-1,114104136193,서울특별시 서대문구 세무서8길,서울특별시 서대문구 세무서8길 30,2,126.946953355238,37.5906004565507,1831537710,20.0,122.0
MA0101202309A0040871,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11650,서초구,11650530,서초3동,1165010800,서초동,1165010800115740004,1574.0,4.0,서울특별시 서초구 서초동 1574-4,116504163414,서울특별시 서초구 서초대로50길,서울특별시 서초구 서초대로50길 19,,127.013162298457,37.4924026676328,1494938619,20.0,79.0
MA0101202311A0031574,금별맥주,금별맥주,홍대점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103950018,395.0,18.0,서울특별시 마포구 서교동 395-18,114404139096,서울특별시 마포구 독막로7길,서울특별시 마포구 독막로7길 63,1,126.920082157805,37.5505991589255,1456505357,20.0,161.0
MA0101202311A0006903,금별맥주,금별맥주경희대점,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11230,동대문구,11230710,회기동,1123010800,회기동,1123010800100600055,60.0,55.0,서울특별시 동대문구 회기동 60-55,112304115019,서울특별시 동대문구 경희대로1길,서울특별시 동대문구 경희대로1길 15,1,127.051247102964,37.5917094718451,9230108,20.0,15.0
MA010120220814163743,금별맥주,금별맥주,길동점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11740,강동구,11740685,길동,1174010500,길동,1174010500104130001,413.0,1.0,서울특별시 강동구 길동 413-1,117404172230,서울특별시 강동구 양재대로111길,서울특별시 강동구 양재대로111길 15,1,127.138569198694,37.5369848644999,1765329714,100.0,272.0
MA0101202212A0039390,금별맥주,올라금별맥주,당산점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11560,영등포구,11560560,당산2동,1156011600,당산동6가,1156011600103320003,332.0,3.0,서울특별시 영등포구 당산동6가 332-3,115604154606,서울특별시 영등포구 양평로12길,서울특별시 영등포구 양평로12길 10-8,1,126.9014756037,37.5349707827803,1005671374,20.0,8.0
MA0101202210A0009834,금별맥주,금별맥주응암,오거리점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11380,은평구,11380600,응암3동,1138010700,응암동,1138010700105910012,591.0,12.0,서울특별시 은평구 응암동 591-12,113804133226,서울특별시 은평구 응암로13길,서울특별시 은평구 응암로13길 26,1,126.91441400761,37.5888874824481,1109103798,20.0,52.0
MA0101202210A0027366,금별맥주,금별맥주,영등포점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11560,영등포구,11560535,영등포동,1156010400,영등포동3가,1156010400100110018,11.0,18.0,서울특별시 영등포구 영등포동3가 11-18,115604154815,서울특별시 영등포구 영중로4길,서울특별시 영등포구 영중로4길 26,,126.909190336751,37.5176056521633,1654545522,20.0,40.0
MA0101202209A0041617,금별맥주,금별맥주까치산역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11500,강서구,11500540,화곡1동,1150010300,화곡동,1150010300103460003,346.0,3.0,서울특별시 강서구 화곡동 346-3,115003115001,서울특별시 강서구 강서로,서울특별시 강서구 강서로 53,1,126.84592780681,37.5324966958867,9500103,20.0,161.0
MA0101202210A0003451,금별맥주,금별맥주충정로역점,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11140,중구,11140680,중림동,1114017100,중림동,1114017100102000000,200.0,,서울특별시 중구 중림동 200,111403101007,서울특별시 중구 중림로,서울특별시 중구 중림로 10,,126.965175051303,37.5586849982074,1151197342,20.0,32.0
