상가업소번호,brand,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번본번지,지번부번지,지번주소,도로명코드,도로명,도로명주소,층정보,경도,위도,place_id,월간 검색량,블로그누적발행,encoded,brand_type,리뷰수,방문자_리뷰수,블로그_리뷰수,log_리뷰수,log_방문자_리뷰수,log_블로그_리뷰수
MA010120220804156426,금별맥주,금별맥주동양미래대점,동양미래대점,I2,음식,I211,주점,I21103,생맥주 전문,I56219,기타 주점업,11,서울특별시,11530,구로구,11530720,고척1동,1153010600,고척동,1153010600100620134,62.0,134.0,서울특별시 구로구 고척동 62-134,115304148103,서울특별시 구로구 경인로47길,서울특별시 구로구 경인로47길 8,2,126.867221337567,37.5000954582478,1113384749,20.0,48.0,구로구 경인로47길 금별맥주,자사,160,267,58.0,5.081404364984463,5.5909869805108565,4.07753744390572
MA010120220808688996,금별맥주,금별맥주양천향교점,양천향교점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11500,강서구,11500603,가양1동,1150010500,마곡동,1150010500107760000,776.0,,서울특별시 강서구 마곡동 776,115004145568,서울특별시 강서구 마곡동로10길,서울특별시 강서구 마곡동로10길 23,,126.839288211879,37.5686268557028,1320051621,20.0,207.0,강서구 마곡동로10길 금별맥주,자사,218,244,47.0,5.389071729816501,5.501258210544727,3.871201010907891
MA010120220806941672,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11710,송파구,11710642,문정2동,1171010800,문정동,1171010800106430001,643.0,1.0,서울특별시 송파구 문정동 643-1,117103350849,서울특별시 송파구 법원로,서울특별시 송파구 법원로 114,,127.12008969917,37.4857830326052,1588254549,20.0,133.0,송파구 법원로 금별맥주,자사,158,234,42.0,5.0689042022202315,5.459585514144159,3.7612001156935624
MA010120220810164671,금별맥주,금별맥주송정역점,송정역점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11500,강서구,11500620,공항동,1150010800,공항동,1150010800100530109,53.0,109.0,서울특별시 강서구 공항동 53-109,115003115006,서울특별시 강서구 송정로,서울특별시 강서구 송정로 68,1,126.809945749117,37.5608166890733,1601981946,20.0,24.0,강서구 송정로 금별맥주,자사,169,240,24.0,5.135798437050262,5.484796933490655,3.2188758248682006
MA010120220812201759,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11410,서대문구,11410585,신촌동,1141011600,창천동,1141011600100520158,52.0,158.0,서울특별시 서대문구 창천동 52-158,114104136230,서울특별시 서대문구 연세로11길,서울특별시 서대문구 연세로11길 14,1,126.936031317181,37.5590782539114,1161335521,20.0,85.0,서대문구 연세로11길 금별맥주,자사,413,505,712.0,6.025865973825314,6.226536669287466,6.569481420414296
MA0101202501A0025382,금별맥주,금별맥주,연신내점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11380,은평구,11380551,갈현1동,1138010400,갈현동,1138010400103990013,399.0,13.0,서울특별시 은평구 갈현동 399-13,113804133160,서울특별시 은평구 연서로29길,서울특별시 은평구 연서로29길 14-6,,126.918977990962,37.6192360457869,1126343564,20.0,30.0,은평구 연서로29길 금별맥주,자사,196,232,68.0,5.2832037287379885,5.4510384535657,4.23410650459726
MA0101202503A0041391,금별맥주,금별맥주,성신여대점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11290,성북구,11290575,동선동,1129011600,동선동1가,1129011600100040004,4.0,4.0,서울특별시 성북구 동선동1가 4-4,112904121093,서울특별시 성북구 동소문로20길,서울특별시 성북구 동소문로20길 29-17,1,127.017697549565,37.5916021412138,1632711633,20.0,13.0,성북구 동소문로20길 금별맥주,자사,262,381,62.0,5.572154032177765,5.945420608606575,4.143134726391533
MA0101202412A0059403,금별맥주,금별맥주신길,삼거리점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,11,서울특별시,11560,영등포구,11560630,신길1동,1156013200,신길동,1156013200100990007,99.0,7.0,서울특별시 영등포구 신길동 99-7,115603118022,서울특별시 영등포구 영등포로,서울특별시 영등포구 영등포로 369,1,126.919374359354,37.514288340194,1516484705,20.0,38.0,영등포구 영등포로 금별맥주,자사,44,42,5.0,3.8066624897703196,3.7612001156935624,1.791759469228055
MA010120220807891737,금별맥주,금별맥주,성수점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1120011500102890273,289.0,273.0,서울특별시 성동구 성수동2가 289-273,112004109358,서울특별시 성동구 성수일로10길,서울특별시 성동구 성수일로10길 35,1,127.054112733257,37.5460907915718,1308648776,20.0,44.0,성동구 성수일로10길 금별맥주,자사,286,430,185.0,5.659482215759621,6.066108090103747,5.225746673713202
MA010120220805757261,금별맥주,금별맥주,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,11,서울특별시,11620,관악구,11620645,서원동,1162010200,신림동,1162010200116400013,1640.0,13.0,서울특별시 관악구 신림동 1640-13,116203120005,서울특별시 관악구 신림로,서울특별시 관악구 신림로 329,1,126.929436102548,37.4837056225976,1972585179,20.0,90.0,관악구 신림로 금별맥주,자사,379,501,114.0,5.940171252720432,6.218600119691729,4.74493212836325
