place_id,지점명,리뷰수
1868359886,구청점,283
1323812622,명지대점,182
1311695977,서울신풍역점,10
1650551571,서울상봉점,431
1404198758,오류점,1
1054587722,서울방배역점,10
1573115649,,215
1407805860,,10
1420076532,화곡역점,323
1337289813,삼거리점,348
1059948798,서울동덕여대점,147
1199375408,성수점,231
1679915153,구청점,205
1125792665,홍대점,710
1424284773,,120
1093149808,,222
1383332046,,277
1014475021,,339
1215644969,사당점,162
1615941540,구로디지털단지점,608
1071087271,,300
1617580186,까치산점,10
1105573661,대학로점,789
1893135961,,10
1412314791,공릉점,14
1126054619,신길점,10
1850542918,,10
1007222625,,38
1223431201,명일점,274
1862325808,서울대입구역점,435
1363879581,,312
1114717401,,10
1716265321,시장점,22
1294706090,입구점,10
1952342372,신내점,219
1352004712,,94
1092241695,서울개봉푸르지오점,28
1431663493,사거리점,45
1570808476,일원점,124
1182019957,,10
1649791385,,252
1724520201,3가역점,580
1691525060,,194
1726119908,발산역점,963
1825323955,건대점,346
1156965631,,98
1640205976,길동점,203
1954680855,교대점,39
1298381290,영등포점,390
2089691769,,10
1084106478,낙성대점,238
1099660574,미성점,10
1512631131,신촌점,10
1502264501,,272
1595356400,,890
1131531061,,163
1166433305,왕십리점,363
1365133624,선릉점,76
1520286568,,434
1242738933,아차산점,227
1220021369,,71
1373524926,,301
1299240760,,172
1941169644,한양대점,46
1618413004,,56
1904735187,장한평점,206
1212496284,,472
1330188617,,261
1348679964,,450
1297849036,노원점,508
1449854694,독산2동점,23
1756212678,암사점,189
1491229549,오목교점,215
1083611120,,167
1883733660,남성역점,109
1686744583,,364
1007235152,용산점,110
1875677589,마곡나루점,298
1081996780,강남역점,292
1431943565,,194
1394095183,,59
1925263470,,104
1125401397,쌍문역점,176
1840210126,가산점,285
1708276745,,88
2006884314,신논현점,140
1219066886,,286
1918585793,,121
1716668282,,220
1253841735,홍제점,201
1642017043,사거리점,272
1211085280,서울미아점,178
1267173845,,196
1893946805,,195
1103233906,,90
1983903998,시장점,201
1790863038,거리점,139
1837963858,,766
1116322096,망원점,394
1281283424,고척점,217
1004012665,천호점,730
1686775093,로데오점,453
1208854457,구의점,294
1093524286,법조타운점,1103
1939413310,,73
1264036723,,111
1864336491,,307
1665937291,답십리점,252
1865144042,,158
1528559468,,257
1697616575,신도림점,629
1638779414,,303
1709618790,,168
1447876791,서울봉천점,248
1883160911,미아사거리점,322
1487592716,,278
1259438090,,442
1142331080,,221
1782064053,신천점,514
1827099901,중앙대점,205
1855644496,상암점,167
1743181781,서울보라매역점,170
1115085909,,129
1397283887,,167
1291366943,오리역점,296
1107851565,판교역점,146
1358873748,가좌점,95
1027060589,고양동점,80
1078478269,,123
1380748932,,234
1477241116,안산신길점,72
2073433504,경기광주경안점,9
1925758063,흥덕점,122
2004339615,상신점,4
1500937003,법원점,136
1387072005,인계점,389
1545807150,,171
