시군구명,시군구_요리주점_수,평균월간검색량,평균블로그발행량,브랜드,시군구_프랜차이즈_요리주점_수,시군구면적,요리주점_밀도,경쟁강도지수,수요대비경쟁지수
강남구,1,30.0,474.0,금별맥주,6,79.02,0.07593014426727411,1,0.03225806451612903
강동구,2,70.0,247.0,금별맥주,8,49.18,0.16266775111834078,2,0.028169014084507043
강서구,7,20.0,167.71428571428572,금별맥주,12,82.89,0.14477017734346725,7,0.3333333333333333
고양시 덕양구,3,26.666666666666668,84.33333333333333,금별맥주,11,,,3,0.10843373493975904
고양시 일산동구,2,20.0,101.5,금별맥주,5,,,2,0.09523809523809523
관악구,1,20.0,90.0,금별맥주,9,59.14,0.15218126479540076,1,0.047619047619047616
광명시,1,90.0,522.99,금별맥주,5,231.13,0.02163284731536365,1,0.01098901098901099
광진구,1,20.0,118.0,금별맥주,7,34.12,0.20515826494724504,1,0.047619047619047616
구로구,3,20.0,56.0,금별맥주,10,40.24,0.24850894632206758,3,0.14285714285714285
군포시,2,20.0,33.0,금별맥주,7,218.52,0.032033681127585575,2,0.09523809523809523
김포시,4,97.5,240.52,금별맥주,12,1659.6,0.007230657989877079,4,0.04060913705583756
남양주시,1,30.0,126.99,금별맥주,11,2748.74,0.004001833567379963,1,0.03225806451612903
마포구,2,20.0,103.0,금별맥주,7,47.7,0.14675052410901468,2,0.09523809523809523
부천시 오정구,1,50.0,79.0,금별맥주,5,,,1,0.0196078431372549
부천시 원미구,4,22.5,150.7525,금별맥주,12,,,4,0.1702127659574468
서대문구,2,20.0,103.5,금별맥주,5,35.26,0.14180374361883155,2,0.09523809523809523
서초구,2,20.0,86.5,금별맥주,6,93.94,0.06387055567383436,2,0.09523809523809523
성남시 분당구,3,20.0,40.0,금별맥주,9,,,3,0.14285714285714285
성남시 중원구,1,20.0,52.0,금별맥주,3,,,1,0.047619047619047616
성동구,1,20.0,44.0,금별맥주,5,33.72,0.14827995255041518,1,0.047619047619047616
성북구,1,20.0,13.0,금별맥주,8,49.14,0.1628001628001628,1,0.047619047619047616
송파구,2,70.0,254.48,금별맥주,7,67.76,0.10330578512396693,2,0.028169014084507043
수원시 권선구,6,35.0,116.335,금별맥주,13,,,6,0.16666666666666666
수원시 영통구,3,20.0,592.0,금별맥주,9,,,3,0.14285714285714285
수원시 장안구,1,30.0,135.0,금별맥주,5,,,1,0.03225806451612903
수원시 팔달구,2,120.0,484.5,금별맥주,5,,,2,0.01652892561983471
시흥시,5,32.0,301.192,금별맥주,16,836.1,0.019136466929793088,5,0.15151515151515152
안산시 단원구,1,60.0,279.0,금별맥주,8,,,1,0.01639344262295082
안산시 상록구,1,20.0,160.0,금별맥주,3,,,1,0.047619047619047616
안양시 동안구,1,20.0,41.0,금별맥주,4,,,1,0.047619047619047616
안양시 만안구,1,20.0,284.0,금별맥주,3,,,1,0.047619047619047616
양천구,4,40.0,234.01,금별맥주,7,34.82,0.2010338885697875,4,0.0975609756097561
영등포구,3,20.0,28.666666666666668,금별맥주,12,49.1,0.24439918533604887,3,0.14285714285714285
오산시,2,30.0,89.5,금별맥주,6,256.2,0.0234192037470726,2,0.06451612903225806
용인시 기흥구,3,33.333333333333336,77.67,금별맥주,9,,,3,0.08737864077669902
용인시 수지구,1,20.0,60.0,금별맥주,3,,,1,0.047619047619047616
용인시 처인구,1,20.0,75.0,금별맥주,7,,,1,0.047619047619047616
